id,name,type,cuisine,city,street,postcode,website,latitude,longitude,status,master_id
99,Jilly's Music Room,pub,NaN,Akron,North Main Street,44308,NaN,41.0880462,-81.5152882,valid,
100,Subway,fast_food,sandwich,Akron,North Main Street,44308,https://restaurants.subway.com/united-states/oh/akron/10-n-main-st,41.0853831,-81.5170165,valid,
101,Einstein's Bagels,restaurant,NaN,Akron,North Main Street,44308,NaN,41.0857435,-81.5168614,valid,
119,Dunkin',fast_food,donut;coffee_shop,Mantua,Limeridge Road,44255,https://locations.dunkindonuts.com/en/oh/mantua/9250-limeridge-rd/363401,41.2424907,-81.1775307,valid,
120,Dunkin',fast_food,donut;coffee_shop,Mantua,Limeridge Road,44255,https://locations.dunkindonuts.com/en/oh/mantua/9270-limeridge-rd/363402,41.2446315,-81.176188,valid,
121,Urban Eats Cafe,restaurant,NaN,Akron,Maiden Lane,44308,NaN,41.0854969,-81.5157896,valid,
122,Crave,restaurant,NaN,Akron,East Market Street,44308,NaN,41.0850497,-81.5158145,valid,
123,Baxter's Speakeasy,bar,NaN,Akron,North High Street,44308,https://baxtersspeakeasy.com/,41.0854207,-81.5155142,valid,
124,Chipotle,fast_food,mexican,Kent,Cascades Boulevard,44240,https://locations.chipotle.com/oh/kent/4050-cascades-blvd,41.0996203,-81.3859234,valid,
132,Subway,fast_food,sandwich,Kent,East Main Street,44240,https://restaurants.subway.com/united-states/oh/kent/1709-e-main-st,41.1560597,-81.3328198,valid,
134,Domino's,fast_food,pizza,Kent,South Water Street,44240,https://pizza.dominos.com/ohio/kent/1413-s-water-street,41.1407408,-81.3565772,valid,
139,Subway,fast_food,sandwich,Munroe Falls,South Main Street,44262,https://restaurants.subway.com/united-states/oh/munroe-falls/14-south-main-street,41.1392233,-81.4386638,valid,
140,Great Wall,restaurant,chinese,Munroe Falls,South Main Street,NaN,NaN,41.1390708,-81.43868,valid,
141,Starbucks,cafe,coffee_shop,Hudson,South Main Street,44236,https://www.starbucks.com/store-locator/store/8778/hudson-south-main-street-85-south-main-street-hudson-oh-442363073-us,41.2364162,-81.4399885,valid,
142,Awaken Bake Company,bakery,NaN,Hudson,South Main Street,44236,NaN,41.2365556,-81.4399886,valid,
143,Gionino's Pizzaria,restaurant,pizza,Hudson,West Streetsboro Street,44236,NaN,41.2397808,-81.4428763,valid,
144,Noble House,restaurant,chinese,Hudson,West Streetsboro Street,44236,NaN,41.2398149,-81.4427473,valid,
145,Hershey's Ice Cream,ice_cream,NaN,Hudson,West Streetsboro Street,44236,NaN,41.2395149,-81.4422084,valid,
146,"Peace, Love, and Little Donuts",restaurant,donut,Hudson,South Main Street,44326,NaN,41.2378814,-81.4397406,valid,
147,Restore Cold Pressed,restaurant,juice,Hudson,Park Lane,44236,https://www.restorecoldpressed.com/,41.2406856,-81.4422303,valid,
149,Steak 'n Shake,fast_food,burger,Akron,East Exchange Street,44325,NaN,41.0741476,-81.5164661,valid,
150,Starbucks,cafe,coffee_shop,Akron,East Exchange Street,44325,NaN,41.0741265,-81.516409,valid,
153,Pizza Hut,restaurant,pizza,Garrettsville,State Street,44231,https://locations.pizzahut.com/oh/garrettsville/7999-state-street,41.2875175,-81.1015583,valid,
157,Subway,fast_food,sandwich,Garrettsville,Main Street,44231,https://restaurants.subway.com/united-states/oh/garrettsville/8094-main-st,41.2848511,-81.0983209,valid,
160,Michael's AM,restaurant,NaN,Akron,Akron Peninsula Road,44313,https://michaelsam.net/,41.1376869,-81.5480042,valid,
161,Subway,fast_food,sandwich,Stow,Darrow Road,44224,https://restaurants.subway.com/united-states/oh/stow/4968-darrow-rd,41.2004287,-81.4414635,valid,
162,Starbucks,cafe,coffee_shop,Cuyahoga Falls,Portage Trail,44223,https://www.starbucks.com/store-locator/store/1007744/portage-trail-2071-portage-trail-space-1000-cuyahoga-falls-oh-44,41.1487199,-81.508142,valid,
163,Northside Speakeasy,bar,NaN,Akron,Furnace Street,44308,https://www.northsidespeakeasy.com/,41.0888222,-81.5151401,valid,
164,Nervous Dog Coffee Bar,cafe,coffee_shop,Akron,West Market Street,44313,NaN,41.1070878,-81.5649003,valid,
166,Chipotle,fast_food,mexican,Akron,East Exchange Street,44304,https://locations.chipotle.com/oh/akron/272-e-exchange-st,41.072919,-81.513455,valid,
168,Little Caesars,fast_food,pizza,Alliance,West State Street,44601,NaN,40.9022746,-81.141218,valid,
169,Wendy's,fast_food,burger,Alliance,West State Street,44601,https://locations.wendys.com/united-states/oh/alliance/1833-w-state-st,40.9022375,-81.1329389,valid,
172,Burger King,fast_food,burger,Alliance,South Union Avenue,44601-2932,https://www.bk.com/store-locator/store/restaurant_705,40.9144072,-81.106327,valid,
173,Subway,fast_food,sandwich,Stow,Kent Road,44224,https://restaurants.subway.com/united-states/oh/stow/4301-kent-rd,41.1569876,-81.4058215,valid,
174,Chipotle,fast_food,mexican,Stow,Kent Road,44224,https://locations.chipotle.com/oh/stow/4338-kent-rd,41.1561641,-81.4058006,valid,
176,Chipotle,fast_food,mexican,Alliance,West State Street,44601,https://locations.chipotle.com/oh/alliance/1630-w-state-st,40.9014737,-81.1290297,valid,
