id,lat,lon,name,brand,website,amenity,shop,cuisine_raw,opening_hours,store_type_label,cuisine_labels,domain_tokens,text_seed
3079567204,41.1512356,-81.343008,Burrito-Del-Rey,,https://www.kent.edu/dining/prentice-hall,fast_food,,mexican,,fast_food,['mexican'],www kent edu,Burrito-Del-Rey  www kent edu
4207984188,41.1537027,-81.3363531,Hungry Howie's,Hungry Howie's,,fast_food,,pizza,,fast_food,['pizza'],,Hungry Howie's Hungry Howie's
4207985773,41.1545238,-81.3352562,Little Caesars,Little Caesars,,fast_food,,pizza,,fast_food,['pizza'],,Little Caesars Little Caesars
4207992806,41.1550385,-81.3339994,Evergreen Buffet,,,restaurant,,chinese,,restaurant,['chinese'],,Evergreen Buffet
4207992807,41.1550303,-81.3339182,East of Chicago Pizza,East of Chicago Pizza,,fast_food,,pizza,,fast_food,['pizza'],,East of Chicago Pizza East of Chicago Pizza
4207992809,41.1550344,-81.3337342,Wild Papaya,,,restaurant,,thai,,restaurant,['thai'],,Wild Papaya
4209764278,41.1560597,-81.3328198,Subway,Subway,https://restaurants.subway.com/united-states/oh/kent/1709-e-main-st,fast_food,,sandwich,Mo-Su 09:00-22:00,fast_food,['sandwich'],restaurants subway com,Subway Subway restaurants subway com
4210133405,41.1398047,-81.3593519,China City,,,restaurant,,chinese,,restaurant,['chinese'],,China City
4213156597,41.1407408,-81.3565772,Domino's,Domino's,https://pizza.dominos.com/ohio/kent/1413-s-water-street,fast_food,,pizza,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,fast_food,['pizza'],pizza dominos com,Domino's Domino's pizza dominos com
4216151265,41.1392415,-81.3147062,The Sideline,,,fast_food,,american,,fast_food,['american'],,The Sideline
4216151266,41.138866,-81.3146988,The Sideline,,,fast_food,,american,,fast_food,['american'],,The Sideline
4240759678,41.1511393,-81.3428199,,,,fast_food,,sandwich,,fast_food,['sandwich'],,
6273390919,41.1557543,-81.3329402,Chinese Food,,,restaurant,,chinese,,restaurant,['chinese'],,Chinese Food
9322604292,41.1541413,-81.3448428,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/1023516/kent-east-main-st-and-luther-1005-e-main-street-kent-oh-442402815-us,cafe,,coffee_shop,,cafe,['coffee'],www starbucks com,Starbucks Starbucks www starbucks com
10235832899,41.1534744,-81.3568918,Federales,,,restaurant,,mexican,,restaurant,['mexican'],,Federales
10286063629,41.1608408,-81.3594266,HA!TEA Bubble Tea House,,,cafe,,bubble_tea,Mo-Sa 11:00-22:00; Su 11:30-21:30,cafe,['bubble_tea'],,HA!TEA Bubble Tea House
10302577881,41.1529997,-81.3583524,Guy's Pizza,,,restaurant,,pizza,,restaurant,['pizza'],,Guy's Pizza
10302577883,41.153135,-81.3587742,Ray's Place,,,restaurant,,american;burger;fries,Mo-Sa 11:00-02:30; Su 12:00-00:30,restaurant,"['american', 'burger', 'fries']",,Ray's Place
10302577885,41.153327,-81.3587064,Taco Tonto's,,,restaurant,,mexican,,restaurant,['mexican'],,Taco Tonto's
10302577888,41.1536112,-81.3583479,Franklin Square Deli,,http://www.franklinsquaredeli.com/,restaurant,,sandwich,Mo-Su 11:00-17:00,restaurant,['sandwich'],www franklinsquaredeli com,Franklin Square Deli  www franklinsquaredeli com
11251511637,41.1536265,-81.3579498,Pacific East,,https://www.pacificeastkent.com/,restaurant,,japanese;malaysian,"Mo-Th 11:00-15:00, 17:00-21:30; Fr 11:00-15:00, 17:00-22:30; Su 15:30-21:30; Sa 12:00-15:00, 17:00-22:30",restaurant,"['japanese', 'malaysian']",www pacificeastkent com,Pacific East  www pacificeastkent com
11335171166,41.1105283,-81.3480547,,,,restaurant,,mexican,,restaurant,['mexican'],,
